"","Metabolic pathways","Biosynthesis of secondary metabolites","Carbon metabolism","Glycolysis / Gluconeogenesis","Glutathione metabolism","Starch and sucrose metabolism","Pyruvate metabolism","Glyoxylate and dicarboxylate metabolism","Biosynthesis of amino acids","Amino sugar and nucleotide sugar metabolism","Phenylpropanoid biosynthesis","Protein processing in endoplasmic reticulum","Carbon fixation in photosynthetic organisms","alpha-Linolenic acid metabolism","Peroxisome","Ascorbate and aldarate metabolism","Fatty acid degradation","Photosynthesis","Alanine, aspartate and glutamate metabolism","Valine, leucine and isoleucine degradation","Porphyrin and chlorophyll metabolism","Pentose phosphate pathway","Fructose and mannose metabolism","Ubiquinone and other terpenoid-quinone biosynthesis","Oxidative phosphorylation","Purine metabolism","Endocytosis","Citrate cycle (TCA cycle)","Galactose metabolism","Glycine, serine and threonine metabolism","Arginine and proline metabolism","Tryptophan metabolism","beta-Alanine metabolism","Cyanoamino acid metabolism","Terpenoid backbone biosynthesis","Fatty acid metabolism","RNA degradation","Spliceosome","MAPK signaling pathway - plant","Plant-pathogen interaction","Arginine biosynthesis","Pyrimidine metabolism","Cysteine and methionine metabolism","Tyrosine metabolism","Phenylalanine metabolism","Glycerolipid metabolism","Arachidonic acid metabolism","Linoleic acid metabolism","Sulfur metabolism","Flavonoid biosynthesis","Biosynthesis of secondary metabolites - unclassified","Biosynthesis of unsaturated fatty acids","Ribosome","Phagosome","Fatty acid biosynthesis","Lysine degradation","Histidine metabolism","Other glycan degradation","Sphingolipid metabolism","Butanoate metabolism","Nitrogen metabolism","2-Oxocarboxylic acid metabolism","Cutin, suberine and wax biosynthesis","Caffeine metabolism","Lysine biosynthesis","Phenylalanine, tyrosine and tryptophan biosynthesis","Taurine and hypotaurine metabolism","Glycosaminoglycan degradation","Inositol phosphate metabolism","Glycerophospholipid metabolism","Glycosphingolipid biosynthesis - ganglio series","Propanoate metabolism","Thiamine metabolism","Riboflavin metabolism","Pantothenate and CoA biosynthesis","Folate biosynthesis","Monoterpenoid biosynthesis","Limonene and pinene degradation","Diterpenoid biosynthesis","Stilbenoid, diarylheptanoid and gingerol biosynthesis","Proteasome","Phosphatidylinositol signaling system","Plant hormone signal transduction","SNARE interactions in vesicular transport","Circadian rhythm - plant"
"Means.2Moderate AllData.txt",0.039413877,0.492797658,-0.019738033,0.190857859,0.091178826,0.027893342,-0.0953365,-0.05070516,0.054320976,-0.049317054,0.26966445,-0.202511924,0.063235438,0.095987765,-0.001038311,-0.318495147,0.025106826,-0.080064548,-0.014466828,-0.057437429,-0.340900376,0.006579454,0.119417205,0.417688062,0.046582878,0.028322069,0.109248143,-0.074174463,0.022973707,0.075813604,0.018508032,-0.016929419,0.030566442,-0.047831494,0.021947684,-0.20351674,0.09080448,0.047797578,0.129039643,-0.063878259,-0.070554695,0.005796512,0.107643293,0.094001039,0.043713699,-0.02225476,-0.035889023,-0.07862338,-0.123863005,0.124702862,0.294330391,-0.217586886,-0.124115055,0.006410301,-0.113844898,-0.006007168,-0.006007168,-0.000211795000000001,-0.000211795000000001,-0.039512359,-0.153883292,-0.019643114,0.021354528,0.059758017,-0.027474275,-0.012502935,0.028901498,-0.013344938,0.03246325,-0.016247592,-0.013344938,0.018078806,-0.00558925,0.035081097,0.007672112,-0.022492016,0.008835833,-0.021552053,0.038368652,0.137167468,-0.013904328,-0.016247592,0.06572537,0.010017997,0.03192421
"Means.3Extreme AllData.txt",1.30979432,-1.152489247,1.080632105,1.937361004,0.411928911,0.780019363,0.948642753,-0.19229761,0.513253154,0.337920384,0.0692320680000001,1.584909362,0.642940586,-0.661135916,0.316019485,0.451502151,0.688469972,-0.537618038,-0.437799147,0.596180657,-0.892468423,0.351188217,0.122076718,0.485287218,-0.183610458,0.000383145000000029,1.067544146,-0.02264137,0.150680899,0.024763252,0.882701027,0.433007734,0.543862648,-0.087194412,-0.495777259,-0.081853425,0.517829319,1.030359243,0.618367845,0.323979506,-0.037802563,0.400131733,-0.071065015,0.639842724,-0.124440949,0.313376039,0.311008473,-0.212269063,-0.246497518,-0.327125405,0.138434428,-0.205546218,-0.165020602,-0.160176391,-0.090479972,0.40298406,0.40298406,0.030511128,0.030511128,0.180885678,-0.340702376,0.093097296,0.741175887,0.238884003,-0.085792896,0.037824902,-0.03760279,-0.08769998,0.368433157,-0.089608021,-0.08769998,0.09616242,-0.093330214,0.242681116,0.178481378,-0.093497238,-0.093593542,0.091238829,-0.078070835,0.12636741,0.064279146,-0.089608021,0.05475069,-0.075346597,-0.311968695
"Means.4Recovery AllData.txt",0.094141402,-0.890417515,0.321245393,0.60404376,-0.102142321,0.415419321,0.194354611,-0.013556007,0.122202374,0.143639859,-0.076307072,-0.116726603,0.323682867,-1.000233291,-0.227213114,-0.192505061,-0.070088108,0.035654728,-0.089640555,-0.04154177,-0.180713082,0.010944358,-0.038618297,0.127480722,0.164039598,-0.045077742,0.324860367,0.04933805,-0.018974687,0.03117159,0.250627101,0.130828233,0.180080983,-0.065796075,-0.094020021,-0.322866338,0.059799301,0.241000201,0.386160296,0.136699972,-0.00689495,0.156025613,-0.041628821,0.07260696,-0.144788918,0.14619001,0.021426108,-0.30326731,-0.077807032,-0.154081846,0.03971739,-0.320611074,-0.11884391,-0.038810956,-0.1152744,0.119128976,0.119128976,0.02954051,0.02954051,-0.046558787,-0.085810025,-0.010186102,0.327339902,0.052404987,-0.016634975,-0.029400174,-0.022236989,-0.038926707,0.098709883,0.027061034,-0.038926707,0.008413479,-0.04759256,0.058321964,0.083188996,-0.015879093,-0.060691696,0.027161949,-0.027790522,0.03975942,-0.024362268,0.027061034,0.19395036,-0.007377243,-0.11175785
"Means.5ControlA AllData.txt",-1.084017218,-0.830645358,-0.203719974,-0.05962301,0.263477665,-0.214611989,-0.016889201,-0.20860475,-0.125785577,-0.256452453,0.00158323,0.098381992,0.00185587500000001,-0.205668626,-0.105849934,-0.237963751,-0.02213337,-0.211055321,0.041168694,-0.065640859,-0.307961742,-0.104998971,-0.038270034,0.131638086,0.045435045,-0.092076906,0.033381496,-0.029656832,-0.051354948,-0.084204369,-0.031875218,-0.029394399,0.100901048,-0.014893978,-0.065986447,-0.104591687,0.045365995,-0.028302064,0.091196684,-0.014199484,-0.087231463,0.024340858,0.024029443,-0.002690121,-0.030801475,-0.024374697,-0.006598711,-0.085093241,-0.109442209,0.076649536,0.092632041,-0.146516438,-0.145169291,0.061756543,-0.015942614,-0.005713808,-0.005713808,-0.009523627,-0.009523627,0.081862909,-0.096992134,-0.05923185,-0.011928992,0.020816526,-0.021952481,-0.043315159,0.08535897,-0.010646983,-0.00669125,-0.018660889,-0.010646983,0.020301688,-0.046693555,-0.007071697,0.021255886,-0.038244403,0.01152249,0.002499322,0.024015239,0.042753014,-0.002234642,-0.018660889,0.082112441,0.05231046,0.044764376
"Means.2Moderate1 black.txt",-0.136652686,-0.00302449,-0.002557083,-0.00302449,0,0,-0.002557083,-0.050911581,-0.050911581,0,0,0,-0.002557083,0,0,0,0,0,-0.050911581,0,0,0,0,0,-0.082716615,0,0,-0.002557083,0,0,0,0,0,0,0,0,0,0,0,0,-0.050911581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.050911581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.3Extreme1 black.txt",-0.466663921,-0.20479274,-0.141566354,-0.20479274,0,0,-0.141566354,-0.130899859,-0.130899859,0,0,0,-0.141566354,0,0,0,0,0,-0.130899859,0,0,0,0,0,-0.130971322,0,0,-0.141566354,0,0,0,0,0,0,0,0,0,0,0,0,-0.130899859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.130899859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.4Recovery1 black.txt",0.078236614,0.046922502,0.01471492,0.046922502,0,0,0.01471492,0.003291152,0.003291152,0,0,0,0.01471492,0,0,0,0,0,0.003291152,0,0,0,0,0,0.02802296,0,0,0.01471492,0,0,0,0,0,0,0,0,0,0,0,0,0.003291152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003291152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.5ControlA1 black.txt",0.069822206,0.05908942,0.062388602,0.05908942,0,0,0.062388602,-0.027999613,-0.027999613,0,0,0,0.062388602,0,0,0,0,0,-0.027999613,0,0,0,0,0,0.038732399,0,0,0.062388602,0,0,0,0,0,0,0,0,0,0,0,0,-0.027999613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.027999613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Means.2Moderate2 blue.txt",-0.276309537,-0.276576288,0,0,0.047468074,-0.047201323,0,0,0,-0.047201323,-0.137348105,0,0,-0.108893076,-0.060542155,0,-0.060542155,0,0.028901498,-0.060542155,-0.055607832,0,-0.047201323,0,0,0,0,0,0,0,0,0,0.028901498,0,0,-0.060542155,0,0,0,0,0,0,0,0,-0.137348105,0,0,-0.014441593,0,-0.012464606,0,-0.060542155,0,0,0,0,0,0,0,0.028901498,0,0,0,0,0,0,0.028901498,0,0,0,0,0,0,0,0,0,0.008835833,0,0,0,0,0,0,0,0.03192421
"Means.3Extreme2 blue.txt",-1.662591262,-1.235941619,0,0,-0.301570469,-0.125079174,0,0,0,-0.125079174,-0.067966812,0,0,-0.38530634,-0.121965353,0,-0.121965353,0,-0.03760279,-0.121965353,-0.19797932,0,-0.125079174,0,0,0,0,0,0,0,0,0,-0.03760279,0,0,-0.121965353,0,0,0,0,0,0,0,0,-0.067966812,0,0,-0.162537803,0,-0.453492815,0,-0.121965353,0,0,0,0,0,0,0,-0.03760279,0,0,0,0,0,0,-0.03760279,0,0,0,0,0,0,0,0,0,-0.093593542,0,0,0,0,0,0,0,-0.311968695
