Uniprot,Means.2Moderate,Means.3Extreme,Means.4Recovery,Means.5ControlA
Q2F912,0.014138227,0.026758096,0.033635037,0.011410497
P17784,-0.003380386,0.016074474,0.014599096,-0.007685018
P29250,-0.015323797,-0.088507447,-0.096325747,0.034492695
B7SDG3,-0.148255674,0.530716403,0.027441506,-0.012154588
P04373,-0.024600071,0.017611627,-0.03734775,-0.010708225
P29545,-0.021037866,0.012870075,-0.013978663,-0.038239111
P41345,-0.073643868,0.068080169,0.000190851,-0.004477506
A0A0K0,-0.02291823,0.04072573,0.029539686,-0.022024401
P35683,0.001775602,0.014437049,0.009000206,0.012324264
Q0DI31,-0.034010455,0.161426069,0.051616755,-0.029529817
P35686,-0.005312765,0.045555578,0.010420406,0.023338068
Q94JF2,0.078183255,1.067153817,0.448232951,-0.050390258
P46466,-0.007350252,0.000619516,-0.017668034,0.001445172
Q0JJ47,-0.022721585,0.019325379,-0.028057156,-0.022404374
Q2QTJ7,0.001626034,-0.060200831,-0.008662603,-0.026598472
Q943W1,-0.001692491,-0.025111297,0.00291852,-0.039842284
Q2QYL3,-0.073247498,-0.272114969,-0.29647915,-0.133465275
P48600,0.003177913,-0.001335244,-0.016773527,-0.021456003
B7ERZ5,-0.000467407,-0.063226386,0.032207582,-0.003299182
Q43007,0.015138171,0.084502271,0.019340518,0.003869183
P46265,0.001882333,-0.104860358,-0.00413212,0.011470696
B9GC71,-0.021130844,-0.031840043,-0.040952754,0.001581697
P0C497,-0.03049936,-0.038415772,-0.037011017,-0.03208208
Q9SNN5,0.088389813,-0.002261721,0.068873368,0.061922174
Q67WN5,-0.11625475,0.015212329,-0.006867328,0.034089881
G8CTM8,-0.003907446,-0.162815938,0.00340204,-0.047015668
Q6ZBV1,0.017031802,-0.019042415,-0.002437194,-0.017976616
P93408,-0.009667465,0.022386213,0.039142483,-0.034123067
Q10S66,-0.138198701,0.336952435,-0.069478039,-0.219950196
Q0J0D1,-0.014099266,0.111132804,0.014942547,0.052037514
Q6Z7B0,-0.052377141,0.014124105,-0.041204176,-0.008413296
Q7XSV2,-0.201163742,-0.129942008,-0.161496695,-0.123337455
Q75GI3,0.019814401,-0.210492251,-0.023901761,0.003875277
Q10LH5,0.019358349,0.027187671,0.034410588,0.029499332
Q10BU2,0.012666048,0.088242519,0.055378724,0.057497397
Q0D598,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Q6AUG0,-0.089431139,0.155732172,-0.098012693,-0.024948216
Q84MN8,-0.026991323,-0.052768193,-0.024798982,0.010934124
Q9ZTP5,-0.007589591,-0.087509756,-0.051598031,-0.069938926
Q9ZQT3,-0.031243756,0.005206876,0.136169382,-0.027669811
Q65XN1,0.022124096,0.014107583,0.016418498,0.041910352
Q6H627,0.005608443,-0.032008305,-0.021880557,-0.016116964
B7EKW3,0.021196868,0.048148381,0.040031156,0.030184607
Q7XSU8,0.015086226,0.161083049,0.06809131,0.013186647
Q9LWY6,0.032948298,0.130323191,0.043402234,0.024536848
Q9SNK8,-0.019299173,-0.191578773,-0.056491248,-0.028209579
Q6Z2X6,-0.033855877,-0.028546666,-0.007074026,0.016110656
Q9LJ04,-0.014090814,-0.054699415,-0.045990351,0.019525645
Q08479,0.047851367,0.025324417,0.068673257,0.091943408
Q9LWJ2,0.070139864,-0.017674504,-0.044720282,-0.002868824
Q69X21,-0.053044137,-0.154742443,-0.15510266,0.034594917
Q6ETD3,0.24955844,0.129685077,-0.137610412,0.027254185
Q7F7Z7,-0.042228585,0.134073692,-0.05138561,-0.048802628
Q6EUD7,0.029006381,0.093738041,0.050182565,0.014912902
Q9FWQ0,0.015947212,0.005555672,0.044747761,0.038914211
Q9FW84,-0.001891328,0.109506562,0.045395797,-0.015883922
Q9FWV8,-0.05407934,0.393318501,0.164615975,-0.011577267
Q7XMP7,0.020402767,-0.271322772,-0.032355261,0.070293537
Q7F8R1,-0.024106608,0.023483184,0.031620418,-0.007027809
Q9FUD9,-0.023818179,-0.018026729,-0.036227593,0.01628716
Q9FUD8,0.036609578,0.054440858,0.050679424,0.043032828
B7EAG0,-0.09057237,-0.193780959,-0.061606676,0.015375501
Q6Z1V5,0.059660606,0.035819991,0.119580705,-0.010419349
Q0JEM7,0.04881063,0.022889974,0.033814664,0.008262819
E9KIM9,-0.002392103,-0.043150738,0.081403432,-0.048713084
E9KIN4,-0.03018225,-0.045369417,-0.010652106,-0.031464982
Q7G7F2,0.001329272,0.007361582,-0.003615612,-0.03002358
E9KIN6,-0.032084727,0.620587024,0.062953106,0.13480589
Q7DNB0,0.002627676,-0.018682277,-0.003542603,-0.030120627
E9KIN9,-0.02517241,-0.089509022,-0.032254756,-0.044884343
E9KIP0,0.021488329,0.003770139,0.008436965,-3.13168E-05
E9KIP2,-0.053766109,-0.087844393,-0.051893743,-0.054922738
E9KIP3,-0.009310211,-0.084536831,-0.009404625,-0.036180452
E9KIP6,0.016771817,-0.004036871,0.028424868,-0.040992163
E9KIP7,-0.024473119,-0.081867627,-0.003631851,-0.067077561
Q7F2L7,0.009962925,-0.167201688,0.092386147,-0.119753147
E9KIQ5,-0.074745939,-0.021371327,-0.034313448,-0.037207001
E9KIQ6,-0.084269887,-0.202338757,-0.125896943,-0.09304568
E9KIQ7,-0.01357659,0.042783692,0.05097626,-0.046777336
Q6Z506,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
P12123,0.035296523,-0.031276349,0.027709554,-0.049133399
E9KIR6,-0.016944098,-0.034816935,-0.020834253,-0.03810338
E9KIR8,-0.059459864,-0.074259027,-0.034480734,-0.054059968
B9G372,-0.039073518,-0.065318883,-0.031950037,-0.035003933
A0A0N9,0.075065875,0.044580613,0.061315099,0.029668945
E9KIS6,0.01786286,-0.051373193,0.033835981,-0.014415491
E9KIT0,-0.004747423,0.011828344,0.026655484,-0.014383291
E9KIT1,0.169966612,0.358939092,0.19873055,0.332577389
Q0DRK4,-0.090290226,-0.16534579,-0.011138719,0.009035821
Q9FRU0,-0.074369515,0.160816164,-0.077636156,-0.173874537
Q8LQ33,-0.015037363,-0.019078861,-0.009304984,-0.012581706
B7E9D7,-0.121895827,0.46135666,0.272100019,-0.1000322
Q9AWS9,-0.008402228,0.032907791,0.003869661,0.013100286
Q9AYP0,0.039610942,0.01419134,0.032890219,-0.059568532
Q7XC34,0.000662196,-0.00634217,0.005701476,0.001075906
Q336R9,5.67072E-05,0.038200033,0.00613689,-0.060930386
A2ZYR4,-0.011593168,0.098035526,0.064951965,0.085888051
B3IYE3,-0.051738991,-0.045914715,0.069225288,-0.050412356
A0A0P0,-0.005638109,0.010697394,-0.02150656,0.034189481
Q9AUQ7,0.037010528,0.059955381,0.019803554,0.027077366
Q0JCU7,0.075245802,0.026620406,0.061246357,0.046246804
Q9AQU0,0.109266491,0.009725826,0.156910741,-0.076834156
Q9ARN5,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Q9AV70,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Q8RZW7,0.003152764,0.067489888,0.030277453,-0.057291741
Q337B8,0.031004824,0.072231373,0.035400512,0.012551845
Q94LV4,-0.012958231,-0.009304262,0.015185487,-0.012164962
Q7EYX7,0.014063454,0.024612522,0.018357688,0.012532082
Q94I53,0.013883764,-0.070199947,-0.006104,-0.025606126
Q94LR8,0.011428665,-0.023313963,-0.027662481,0.046145193
Q6YTX5,0.002594172,0.003526068,-0.012650179,0.002432463
P12151,-0.077917251,-0.075586331,-0.055847338,-0.062681797
Q0JJD1,0.013717158,0.017398452,0.001063168,0.015610114
Q0JJX0,0.010209967,-0.001357556,0.019283306,-0.015487716
Q94HA5,0.15079579,0.22506577,0.000165966,0.145397646
Q0DWD5,-0.007106109,-0.034510039,0.012022574,0.031274567
Q94DS1,-0.110980548,-0.05466654,-0.143368506,-0.039626579
Q6IEQ7,-0.04620526,-0.019333984,-0.011897495,-0.003958335
Q94GQ3,0.033262232,-0.129541175,-0.002291639,0.026525463
Q94GE8,0.076815329,-0.001240214,-0.017306053,0.031918645
Q7F2F8,-0.068407383,-0.041749198,-0.028170416,-0.053951451
Q94GL8,-0.022498424,0.059294033,0.005511888,0.028148501
Q94HM9,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Q10QV0,0.069046091,0.112712907,0.051593849,0.077407722
Q94HD7,0.017590237,0.005332173,-0.024909116,-0.022213861
Q7XUC9,-0.008403855,-0.070435378,-0.026252054,-0.023088057
B7F6J5,-0.018686196,-0.024780152,-0.016948651,0.054154311
A3AUC6,-0.022444048,-0.018898664,-0.029553271,0.05978377
Q941T6,0.0999497,-0.003925581,0.061692107,0.082846765
Q948J0,-0.021160163,-0.01528317,-0.023474799,0.033698876
Q947Y2,0.072559445,0.344758052,0.115266413,0.052038279
Q942T8,-0.02458369,-0.127138973,-0.032392232,-0.019714952
Q5VNW0,-0.017541464,0.00171963,-0.030422959,-0.013131398
Q945R7,0.009386793,0.018608105,0.002555253,-0.007120349
Q8W5N5,0.036836445,0.045080768,0.075110409,0.081867643
Q7XD67,-0.004667402,-0.020375751,-0.073264609,-0.019248753
Q6Z875,-0.025764247,0.000200712,-0.009421918,-0.018245209
Q69Q32,-0.026033047,0.044218317,0.000481091,0.002895452
Q8W315,0.051616987,-0.043374217,-0.004026091,0.055915309
Q8W3F7,0.012009164,0.002780732,0.009641257,-0.029107092
Q8W2Z2,-0.057107281,-0.132445129,0.014024088,-0.026570721
Q7XD99,0.015189536,0.046477239,-0.027392021,0.067800128
Q8W368,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Q75IQ9,-0.033136318,-0.074147352,-0.044347551,-0.039449831
Q7XBW1,0.021817985,0.028492373,-0.001912952,0.010111294
Q8W0E8,-0.008359674,-0.021500278,-0.00701183,0.005485877
Q94LN5,-0.032155454,0.113403273,0.001914896,-0.016063229
Q7G6D1,0.002479786,0.015157064,-0.040588147,-0.019540545
Q7G6A7,-0.071040494,-0.027057936,-0.035134267,-0.074300806
Q8S7F9,0.017641168,-0.003439046,-0.003826693,0.019260084
Q8S7N7,0.013994014,0.038036277,0.0103316,0.018973704
Q8S3S8,-0.201892473,-0.08673639,-0.256496169,-0.143796424
Q2QXC3,-0.020187849,0.014467834,-0.041086544,-0.016343863
Q8S6K4,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Q7G5Z7,0.012389071,0.040313818,0.014819734,0.03813103
Q8RU48,0.018192792,-0.040191626,-0.039888517,0.02505757
Q8H493,0.002801722,-0.1238052,0.007534365,0.030133932
Q8S6F6,0.01017541,-0.008348711,0.036991618,-0.00552239
Q8S1G8,0.026314782,0.038585532,0.015128713,0.023558436
Q7F2I2,-0.045033043,0.005772615,-0.062083419,-0.014962306
Q06396,0.021998731,-0.011972035,0.026697775,0.014983534
Q8RZ91,0.014294169,-0.031669824,-0.014911127,0.002928619
Q8RZ80,-0.002979256,-0.080055201,-0.027167271,-0.017855234
Q8S7H8,0.003989122,-0.018733493,0.032311978,-0.031532645
Q8S5U9,-0.007393617,-0.031573842,-0.049543058,-0.065090326
Q8LIW7,-0.057442064,-0.025259147,-0.024292622,-0.034190769
Q8L6H9,0.039251301,0.112748153,0.029057329,-0.045815772
Q8LLN9,0.001202527,0.017807728,-0.008004053,-0.0076518
Q8LLN6,0.013202111,-0.028175674,0.004599189,0.026540806
Q8LMQ5,0.028304059,0.024430138,-0.03472808,-0.032242998
Q8LK80,0.030146085,0.147355073,0.103880962,-0.015772728
Q0JCS3,0.013519617,-0.013056925,-0.008187153,0.019080861
Q4LB25,0.049177274,0.228862227,0.129386157,0.002442099
Q7XUG1,0.001320784,0.204685711,-0.009769961,-0.034000813
Q0JEB0,-0.005891646,-0.063079947,0.0298715,-0.041282475
Q8LHD1,0.001053343,-0.015791388,-0.058540999,0.009902232
Q8LI58,0.086205898,-0.136839281,0.013404495,0.031884313
Q8LNP4,-0.001060162,0.028302596,0.024066874,-0.018942274
Q8LMZ0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Q8L3T6,-0.237117193,-0.035855351,-0.186680233,-0.190635106
Q8LII6,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Q8LHA6,-0.055060708,0.061663485,-0.023572457,-0.085006418
Q0JK67,-0.07349072,-0.081251746,-0.016950881,-0.096324984
Q8LMT7,-0.0082645,0.042808925,-0.032817817,-0.010257332
Q8H813,0.06427764,-0.036045587,-0.017965554,0.062555157
Q10PS7,0.056136821,0.020426283,0.047843326,0.010317998
P14654,-0.05091158,-0.130899859,0.003291151,-0.027999613
Q8H916,0.017082038,0.257624374,0.076968676,0.012104061
Q8H7Z2,-0.011137143,-0.033652421,-0.04304288,-0.02544653
Q8H7X7,0.151548211,0.036460971,0.027386335,0.064305728
Q8H3C6,-0.016652535,-0.151915156,-0.065600366,-0.037230879
Q8GRJ4,0.001515941,-0.001768126,-0.031358121,-0.055810075
Q8H879,0.066106363,-0.016328429,0.057152119,0.056602754
Q0D8N4,0.067589735,0.034861175,0.053835151,-0.000933546
Q8H2L4,0.075963651,0.009322376,-0.01766987,-0.009596679
Q8H655,0.035566143,0.040833178,0.016164536,0.018608504
Q8H852,0.006891193,-0.03757088,-0.020365303,0.001788359
Q8H7V2,-0.022109542,-0.081266108,-0.063778028,-0.04579645
Q8H7N0,-0.033001279,-0.004273837,-0.01970197,-0.006079517
Q8H588,-0.026880106,-0.025516638,-0.045618224,-0.033344571
Q8H054,-0.023657985,-0.027197221,0.028304059,-0.005403619
Q652A8,-0.0903083,-0.080199116,-0.058159351,-0.022340622
Q0E471,0.042158738,0.007543135,0.037091572,0.054576303
Q8GVX4,-0.06487867,-0.00677959,-0.087378357,-0.06993083
Q7XXS4,-0.220747525,-0.187148398,-0.005061539,-0.164512899
Q8GVP6,-0.132715788,-0.160464115,0.093983941,-0.132003776
Q8GVF4,-0.000578216,-0.028364733,-0.014620749,0.000526683
Q8GU64,-0.043142376,-0.108857348,-0.077982082,-0.044735295
Q9AT30,-0.077226555,-0.089103083,-0.058235747,-0.0497068
Q852B0,0.036500391,-0.009548031,0.033240388,-0.00107443
Q852A8,0.031532821,0.007807806,0.00825886,0.041778814
B9F813,0.005202649,-0.058629253,0.010130949,-0.014492491
Q84ZY2,-0.00482771,-0.065709584,-0.016128631,-0.050908908
B9FM21,0.027282529,-0.013818996,-0.004721723,-0.002283117
Q851F0,-0.050662384,-0.07521647,-0.034419734,-0.023916208
Q10B63,0.026134344,0.050938895,0.031954348,0.023343612
Q84YW5,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Q10BX9,-0.107381649,-0.027827789,-0.098498186,-0.040811381
Q6L506,0.025356906,-0.00285749,-0.002156853,0.013191327
Q5Z627,-0.007268623,0.044864874,0.014039346,-0.012453044
Q84PB1,-0.039966999,-0.132067071,-0.092435098,-0.02252356
Q84PA9,0.022705208,-0.051881838,0.006781166,0.017293601
Q84P88,0.044638718,-0.016725282,0.055103888,0.023949673
Q5Z8V8,-0.021401905,-0.102237548,-0.025172065,-0.030828466
Q84P68,-0.002482869,-0.046805036,-0.01555863,-0.003533691
Q84VE1,-0.037201428,-0.04904594,-0.053114878,-0.036178554
Q84VE0,0.226110882,-0.039474804,0.05549849,0.051855278
Q84VB9,-0.145928393,0.033945434,-0.106396522,-0.028693192
Q2QLL9,0.027384898,0.131805278,-0.347540068,0.13583574
Q6KAJ2,-0.048834821,-0.005888042,-0.00766332,-0.044902039
Q84QY8,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Q84NP4,-0.027206134,0.083474503,0.012493109,0.046144185
Q84NX6,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Q84J40,0.100871177,-0.037023483,0.053070408,-0.027940398
Q84MY7,-0.018914925,-0.02899399,0.013405647,-0.020942036
Q84MQ0,0.035874943,0.14637205,-0.030563155,0.074218064
Q65XG1,-0.008089086,0.082666182,-0.048920679,-0.028246721
Q5QMG3,-0.047214242,-0.203455079,-0.117600957,-0.008671946
Q7Y179,-0.00186563,0.148563381,0.058884511,-0.024810594
Q7Y1F0,0.019215778,-0.028121277,-0.008382977,-0.028866249
Q7Y0D5,-0.017150147,-0.029285861,-0.026153645,0.005264054
Q7Y096,0.007558257,-0.01354577,0.001602214,-0.018543521
Q7XZW0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Q7XZF7,0.001137917,0.027515846,0.03013091,-0.006891796
B9FFZ4,-0.032838668,-0.016417335,-0.0102831,-0.022046142
Q7XS38,-0.037978366,-0.11320998,-0.059770389,-0.039411124
Q7X7Q3,-0.003307052,0.036310589,0.006898072,0.001994958
Q5JQY0,-0.003636085,0.010370137,-0.033558387,-0.073030832
Q5JQX8,0.059602228,0.039258612,0.147022373,0.031128737
Q7XPV1,0.001953609,-0.019590883,-0.017149072,0.015042885
B9FDE0,0.003660136,-0.014027314,0.024092118,-0.014459101
Q7XM53,-0.017825868,-0.035972913,-0.034016154,0.041972752
