"Protein","x"
"A1YQK1","osa01100 osa01110 osa01200 osa00710 osa00620 osa00630 osa00020 osa00270"
"A2ZP36","osa04144"
"A3A7A3","osa03040"
"A3AD51","osa01100 osa01110 osa01200 osa01230 osa00030 osa00230"
"A3BE72","osa01100 osa01110 osa01200 osa01230 osa00270 osa00260"
"A3BH68","osa01100 osa01110 osa01200 osa01230 osa00010 osa00620 osa00230"
"A3C4S4","osa01100 osa01110 osa00520 osa00053"
"A3C6G9","osa01100 osa01110 osa01200 osa00630 osa00260"
"B7E905","osa03010"
"B7E914","osa01100 osa00190"
"B7EDV8","osa01100 osa00190 osa04145"
"B7EKA4","osa01100 osa01110 osa01230 osa00270"
"B7ERZ5","osa01100 osa01110 osa00010"
"B7F9R7","osa03010"
"B7FA23","osa01100 osa01110 osa01200 osa00010 osa00620 osa00630 osa00650"
"B7FAH8","osa01100 osa01110 osa00740"
"B9EXM2","osa01100 osa00250 osa00240"
"B9F3B6","osa01100 osa00250 osa00650"
"B9F813","osa01100 osa01200 osa00710"
"B9FE37","osa03015"
"B9FHD6","osa04141 osa04120"
"B9FJ38","osa04626"
"B9FK56","osa04141 osa03040 osa04144"
"B9FM04","osa01100 osa01110 osa00230"
"B9FNQ3","osa01100 osa00620"
"B9FPW2","osa01100 osa01110 osa00500 osa00940 osa00460"
"B9FQQ6","osa03050"
"B9FSC3","osa01100 osa01110 osa00500 osa00520 osa00051"
"B9FSH5","osa00970"
"B9G372","osa03010"
"B9G434","osa01100 osa01110 osa00500"
"B9G4B3","osa03018"
"B9G505","osa03060"
"C7IY39","osa01100 osa01110 osa00904"
"C7J524","osa03040"
"E5D3K1","osa04141"
"E9KIM9","osa01100 osa00195"
"E9KIN9","osa03010"
"E9KIP2","osa03010"
"E9KIP6","osa01100 osa00190 osa00195"
"E9KIQ5","osa03010"
"E9KIR6","osa03010"
"E9KIR8","osa03010"
"E9KIS0","osa03010"
"E9KIT0","osa01100 osa00195"
"I3QD45","osa01100 osa01110 osa01200 osa01230 osa00010 osa00710"
"K4FDV3","osa01100 osa01110 osa00500"
"O48653","osa03030"
"O64422","osa01100 osa01110 osa01200 osa00010 osa00710 osa00030 osa00051"
"O64464","osa03050"
"O65037","osa03010"
"O82143","osa03050"
"P0C0L1","osa01100 osa00480 osa00053"
"P0C497","osa03010"
"P0C522","osa01100 osa00190"
"P0DKJ9","osa03050"
"P0DKK7","osa03010"
"P12123","osa01100 osa00195"
"P12124","osa01100 osa00190"
"P12151","osa03010"
"P14654","osa01100 osa01230 osa00630 osa00250 osa00220 osa00910"
"P14655","osa01100 osa01230 osa00630 osa00250 osa00220 osa00910"
"P14656","osa01100 osa01230 osa00630 osa00250 osa00220 osa00910"
"P14717","osa01100 osa01110 osa00940 osa00360"
"P15280","osa01100 osa01110 osa00500 osa00520"
"P16081","osa01100 osa00910"
"P17070","osa03420 osa03030 osa03430 osa03410"
"P25765","osa01100 osa00520 osa04016"
"P31924","osa01100 osa01110 osa00500"
"P35683","osa03013"
"P40393","osa04144"
"P41095","osa03010"
"P41344","osa01100 osa00195"
"P41345","osa01100 osa00195"
"P42862","osa01100 osa01110 osa01200 osa00010 osa00500 osa00520 osa00030"
"P48494","osa01100 osa01110 osa01200 osa01230 osa00010 osa00710 osa00051 osa00562"
"P48642","osa01100 osa00480"
"P49199","osa03010"
"P49397","osa03010"
"P52428","osa03050"
"P93844","osa01100 osa01110 osa04144 osa00564 osa00565"
"Q06396","osa04144"
"Q07661","osa01100 osa01110 osa00230 osa04016 osa00240"
"Q08480","osa01100 osa01110 osa00230 osa00730"
"Q0D7H6","osa04141 osa04145"
"Q0D7W4","osa01100 osa01110 osa00906"
"Q0D9C4","osa01100 osa01110 osa01200 osa00630 osa04146 osa04016 osa00380"
"Q0D9D0","osa01100 osa01110 osa00500"
"Q0DC43","osa01100 osa01200 osa00630"
"Q0DCI1","osa01100 osa01110 osa00010 osa00030 osa00051"
"Q0DFC9","osa00195"
"Q0DGD7","osa01100 osa00052 osa00600 osa00511 osa00531 osa00604"
"Q0DIC9","osa01100 osa00190"
"Q0DJC5","osa01100 osa04141 osa00513 osa00510"
"Q0DRV6","osa04146"
"Q0DV32","osa01100 osa01110 osa00940 osa00130"
"Q0DWH1","osa01100 osa01110 osa01200 osa00010 osa00071 osa00350"
"Q0E243","osa00790"
"Q0E4R7","osa03010"
"Q0IMX5","osa01100 osa01110 osa00940"
"Q0IN14","osa04141 osa04626"
"Q0IPE5","osa01100"
"Q0IQF7","osa03010"
"Q0IZQ2","osa00970"
"Q0J0F7","osa04141"
