"Protein","x"
"O35083","mmu00561 mmu00564 mmu01100 mmu04975"
"Q8K3K7","mmu00561 mmu00564 mmu01100 mmu04975"
"Q9D517","mmu00561 mmu00564 mmu01100"
"Q8K4X7","mmu00561 mmu00564 mmu01100"
"Q9D1E8","mmu00561 mmu00564 mmu01100"
"Q8C0N2","mmu00561 mmu00564 mmu01100"
"P11928","mmu05160 mmu05162 mmu05164 mmu05168"
"Q60856","mmu05160 mmu05162 mmu05164 mmu05168"
"E9Q9A9","mmu05160 mmu05162 mmu05164 mmu05168"
"Q8VI93","mmu05160 mmu05162 mmu05164 mmu05168"
"P15327","mmu00010 mmu00260 mmu01100 mmu01130"
"Q9WV68","mmu04146"
"Q6PDY2","mmu00430 mmu01100"
"Q9QXE0","mmu04146"
"Q8VCH6","mmu00100 mmu01100"
"Q60967","mmu00230 mmu00450 mmu00920 mmu01100 mmu01130"
"O88428","mmu00230 mmu00450 mmu00920 mmu01100 mmu01130"
"P38060","mmu00072 mmu00280 mmu00650 mmu01100 mmu04146"
"Q01237","mmu00900 mmu01100 mmu01130 mmu04152 mmu04976"
"Q8JZK9","mmu00072 mmu00280 mmu00650 mmu00900 mmu01100 mmu01130"
"P54869","mmu00072 mmu00280 mmu00650 mmu00900 mmu01100 mmu01130"
"Q9D3B1","mmu00062 mmu01040 mmu01212"
"Q8K2C9","mmu00062 mmu01040 mmu01212"
"A2AKM2","mmu00062 mmu01040 mmu01212"
"Q78JT3","mmu00380 mmu01100"
"Q80XN0","mmu00072 mmu00650 mmu01100"
"Q8JZV9","mmu00072 mmu00650 mmu01100"
"Q99L13","mmu00280 mmu01100"
"Q8QZS1","mmu00280 mmu00410 mmu00640 mmu01100 mmu01200"
"Q8JZS7","mmu00072 mmu00280 mmu00650 mmu01100 mmu04146"
"Q6GV12","mmu00600 mmu01100"
"Q9D0K2","mmu00072 mmu00280 mmu00650"
"Q9JJN4","mmu00072 mmu00280 mmu00650"
"Q9ESL0","mmu00072 mmu00280 mmu00650"
"Q9D404","mmu00061 mmu00780 mmu01100 mmu01212"
"Q61753","mmu00260 mmu01100 mmu01130 mmu01200 mmu01230"
"Q9Z2A0","mmu03320 mmu04068 mmu04071 mmu04150 mmu04151 mmu04152 mmu04510 mmu04660 mmu04664 mmu04722 mmu04910 mmu04919 mmu04931 mmu04960 mmu05145 mmu05160 mmu05205 mmu05213 mmu05215 mmu05223 mmu05231"
"P61922","mmu00250 mmu00280 mmu00410 mmu00640 mmu00650 mmu01100 mmu04727"
"Q9DCU9","mmu00330 mmu00630 mmu01100"
"P49429","mmu00130 mmu00350 mmu00360 mmu01100"
"P97288","mmu04020 mmu04024 mmu04080 mmu04726"
"Q61503","mmu00230 mmu00240 mmu00760 mmu01100"
"Q9JM14","mmu00230 mmu00240 mmu00760 mmu01100"
"Q8VCE6","mmu00230 mmu00240 mmu00760 mmu01100"
"P97789","mmu03008 mmu03018"
"Q9DBR1","mmu03008 mmu03018"
"A3KFX0","mmu00230 mmu00240 mmu00760 mmu01100"
"Q91YE9","mmu00230 mmu00240 mmu00760 mmu01100"
"Q3V1L4","mmu00230 mmu00240 mmu00760 mmu01100"
"Q9D020","mmu00230 mmu00240 mmu00760 mmu01100"
"Q3UFY7","mmu00230 mmu00240 mmu00760 mmu01100"
"Q9D110","mmu00670 mmu01100"
"Q9WU20","mmu00670 mmu01100 mmu01200"
"Q9CWJ9","mmu00230 mmu00670 mmu01100 mmu01130"
"Q9QYP6","mmu04622"
"Q64264","mmu04024 mmu04080 mmu04726"
"P28334","mmu04024 mmu04080 mmu04726"
"Q61224","mmu04024 mmu04080 mmu04726"
"Q02284","mmu04024 mmu04080 mmu04726"
"P35363","mmu04020 mmu04080 mmu04540 mmu04726 mmu04750"
"Q02152","mmu04020 mmu04080 mmu04540 mmu04726 mmu04750"
"P34968","mmu04020 mmu04080 mmu04540 mmu04726 mmu04750"
"P23979","mmu04726"
"Q9JHJ5","mmu04726"
"P30966","mmu04020 mmu04080 mmu04726"
"P31387","mmu04020 mmu04080 mmu04726"
"Q9R1C8","mmu04020 mmu04024 mmu04080 mmu04726"
"P32304","mmu04014 mmu04020 mmu04080 mmu04726"
"A6H5Y3","mmu00270 mmu00450 mmu00670 mmu01100 mmu01230"
"Q8K010","mmu00480"
"Q8R1K4","mmu00310 mmu01100"
"P70266","mmu00051 mmu04152 mmu04922"
"P70265","mmu00051 mmu04152 mmu04919"
"Q6DTY7","mmu00051 mmu04152"
"Q9CQ60","mmu00030 mmu01100 mmu01130 mmu01200"
"Q9R1Z7","mmu00790 mmu01100"
"O88455","mmu00100 mmu01100"
"O08760","mmu03410"
"P38649","mmu00601 mmu01100"
"Q8VDL4","mmu00010 mmu01100 mmu01130 mmu01200"
"Q99KS6","mmu00230 mmu00564"
"P84078","mmu04144 mmu05134"
"P61205","mmu04144"
"P84084","mmu04144"
"P62331","mmu04014 mmu04144 mmu04666"
"Q9EPJ9","mmu04144"
"Q99K28","mmu04144"
"Q9D8S3","mmu04144"
"G3X9K3","mmu04144"
"A2A5R2","mmu04144"
"O88573","mmu05202"
"Q9D1F4","mmu04150 mmu04152"
"Q9WVQ5","mmu00270 mmu01100"
"Q91V92","mmu00020 mmu01100 mmu01130"
"P00848","mmu00190 mmu01100 mmu05010 mmu05012 mmu05016"
"P03930","mmu00190 mmu01100 mmu05010 mmu05012 mmu05016"
"P56480","mmu00190 mmu01100 mmu05010 mmu05012 mmu05016"
